"fecha";"lugar";"local";"away";"id";"pts";"MIN_local";"FG_local";"PT3_local";"TL_local";"OREB_local";"DREB_local";"REB_local";"AST_local";"STL_local";"TOV_local";"PF_local";"PM_local";"PTS_local";"MIN_visita";"FG_visita";"PT3_visita";"TL_visita";"OREB_visita";"DREB_visita";"REB_visita";"AST_visita";"STL_visita";"TOV_visita";"PF_visita";"PM_visita";"PTS_visita"
2023-01-06;"LA";"Pelicans";"Nets";401468741;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-06;"WI";"Bucks";"Hornets";401468738;247;226;4.073556998557;2.45555555555556;4.5;14;26;40;19;11;16;14;-104;93;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-06;"OK";"Thunder";"Wizards";401468739;237;0;0;0;0;0;0;0;0;0;0;0;0;0;240;7.55862193362193;2.13333333333333;3.33333333333333;12;42;54;29;9;17;10;115;118
2023-01-06;"TX";"Spurs";"Pistons";401468740;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-06;"MN";"Timberwolves";"Clippers";401468742;243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-06;"CO";"Nuggets";"Cavaliers";401468743;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-06;"AZ";"Suns";"Heat";401468744;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-06;"CA";"Lakers";"Hawks";401468745;244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-07;"TX";"Spurs";"Celtics";401468746;237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-07;"IL";"Bulls";"Jazz";401468747;244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-07;"TX";"Mavericks";"Pelicans";401468748;244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-07;"CA";"Warriors";"Magic";401468749;216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-07;"CA";"Kings";"Lakers";401468750;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-08;"MI";"Pistons";"76ers";401468751;234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-08;"ON";"Raptors";"Trail Blazers";401468752;222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-08;"IN";"Pacers";"Hornets";401468753;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-08;"FL";"Heat";"Nets";401468754;203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-08;"TN";"Grizzlies";"Jazz";401468755;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-08;"TX";"Rockets";"Timberwolves";401468756;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-08;"OK";"Thunder";"Mavericks";401468757;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-08;"AZ";"Suns";"Cavaliers";401468758;210;191;2.77142857142857;1.91666666666667;3.25;8;36;44;14;6;9;15;-15;61;240;4.11096681096681;1.63095238095238;5.16666666666667;7;39;46;15;9;14;17;10;90
2023-01-08;"CA";"Clippers";"Hawks";401468759;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-09;"DC";"Wizards";"Pelicans";401468760;244;236;6.55862193362193;2.13333333333333;3.33333333333333;11;42;53;29;8;16;10;115;116;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-09;"MA";"Celtics";"Bulls";401468761;206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-09;"NY";"Knicks";"Bucks";401468762;218;0;0;0;0;0;0;0;0;0;0;0;0;0;223;3.78784271284271;2.45555555555556;5.5;12;30;42;22;9;13;12;-107;91
2023-01-09;"TN";"Grizzlies";"Spurs";401468763;234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-09;"CO";"Nuggets";"Lakers";401468764;231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-09;"CA";"Kings";"Magic";401468765;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-10;"PC";"76ers";"Pistons";401468767;263;240;5.49531024531024;2.11388888888889;6.08333333333333;14;30;44;24;12;13;17;60;123;204;4.33808446455505;2;2.35714285714286;10;31;41;20;8;21;18;-52;91
2023-01-10;"FL";"Heat";"Thunder";401468766;223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-10;"ON";"Raptors";"Hornets";401468768;252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
